Time,0x180601fd_0_1
11-29-2022_14.59.55,19051
11-29-2022_14.59.56,19424
11-29-2022_14.59.56,18553
11-29-2022_14.59.56,18802
11-29-2022_14.59.56,19549
11-29-2022_14.59.56,18428
11-29-2022_14.59.56,18428
11-29-2022_14.59.56,19051
11-29-2022_14.59.56,18802
11-29-2022_14.59.56,18428
11-29-2022_14.59.56,18926
11-29-2022_14.59.57,19549
11-29-2022_14.59.57,18553
11-29-2022_14.59.57,18553
11-29-2022_14.59.57,19300
11-29-2022_14.59.57,18926
11-29-2022_14.59.57,18428
11-29-2022_14.59.57,19175
11-29-2022_14.59.57,19549
11-29-2022_14.59.57,18553
11-29-2022_14.59.57,18677
11-29-2022_14.59.58,19300
11-29-2022_14.59.58,18926
11-29-2022_14.59.58,18428
11-29-2022_14.59.58,18926
